division_id,kpi_id,period_id,year,target,realization
4,14,1,2016,100.0,99.6
4,14,2,2016,100.0,100.0
4,14,3,2016,100.0,100.0
4,14,4,2016,100.0,99.77
4,14,5,2016,100.0,100.0
4,14,6,2016,100.0,99.99
4,14,7,2016,100.0,100.0
4,14,8,2016,100.0,100.0
4,14,9,2016,100.0,100.0
4,14,10,2016,100.0,99.99
4,14,11,2016,100.0,100.0
4,14,12,2016,100.0,99.57
4,14,1,2017,100.0,100.0
4,14,2,2017,100.0,100.0
4,14,3,2017,100.0,99.08
4,14,4,2017,100.0,98.4
4,14,5,2017,100.0,99.98
4,14,6,2017,100.0,99.98
4,14,7,2017,100.0,99.89
4,14,8,2017,100.0,99.88
4,14,9,2017,100.0,100.0
4,14,10,2017,100.0,100.0
4,14,11,2017,100.0,100.0
4,14,12,2017,100.0,99.91
4,14,1,2018,100.0,100.0
4,14,2,2018,100.0,99.99
4,14,3,2018,100.0,99.01
4,14,4,2018,100.0,100.0
4,14,5,2018,100.0,99.43
4,14,6,2018,100.0,100.0
4,14,7,2018,100.0,99.94
4,14,8,2018,100.0,100.0
4,14,9,2018,100.0,100.0
4,14,10,2018,100.0,99.55
4,14,11,2018,100.0,99.51
4,14,12,2018,100.0,99.98
4,14,1,2019,100.0,100.0
4,14,2,2019,100.0,98.45
4,14,3,2019,100.0,99.97
4,14,4,2019,100.0,98.59
4,14,5,2019,100.0,100.0
4,14,6,2019,100.0,100.0
4,14,7,2019,100.0,98.31
4,14,8,2019,100.0,99.28
4,14,9,2019,100.0,99.86
4,14,10,2019,100.0,99.99
4,14,11,2019,100.0,99.76
4,14,12,2019,100.0,100.0
4,14,1,2020,100.0,98.0
4,14,2,2020,100.0,99.68
4,14,3,2020,100.0,100.0
4,14,4,2020,100.0,98.1
4,14,5,2020,100.0,99.53
4,14,6,2020,100.0,100.0
4,14,7,2020,100.0,100.0
4,14,8,2020,100.0,100.0
4,14,9,2020,100.0,100.0
4,14,10,2020,100.0,100.0
4,14,11,2020,100.0,100.0
4,14,12,2020,100.0,100.0
4,14,1,2021,100.0,100.0
4,14,2,2021,100.0,98.56
4,14,3,2021,100.0,99.95
4,14,4,2021,100.0,100.0
4,14,5,2021,100.0,100.0
4,14,6,2021,100.0,99.99
4,14,7,2021,100.0,100.0
4,14,8,2021,100.0,98.0
4,14,9,2021,100.0,99.91
4,14,10,2021,100.0,98.31
4,14,11,2021,100.0,99.4
4,14,12,2021,100.0,99.89
4,14,1,2022,100.0,100.0
4,14,2,2022,100.0,99.74
4,14,3,2022,100.0,98.66
4,14,4,2022,100.0,99.74
4,14,5,2022,100.0,98.81
4,14,6,2022,100.0,98.81
4,14,7,2022,100.0,100.0
4,14,8,2022,100.0,99.96
4,14,9,2022,100.0,100.0
4,14,10,2022,100.0,99.59
4,14,11,2022,100.0,100.0
4,14,12,2022,100.0,100.0
4,14,1,2023,100.0,99.99
4,14,2,2023,100.0,99.86
4,14,3,2023,100.0,100.0
4,14,4,2023,100.0,98.21
4,14,5,2023,100.0,99.75
4,14,6,2023,100.0,100.0
4,14,7,2023,100.0,99.98
4,14,8,2023,100.0,100.0
4,14,9,2023,100.0,100.0
4,14,10,2023,100.0,98.75
4,14,11,2023,100.0,99.08
4,14,12,2023,100.0,100.0
4,14,1,2024,100.0,100.0
4,14,2,2024,100.0,100.0
4,14,3,2024,100.0,99.97
4,14,4,2024,100.0,100.0
4,14,5,2024,100.0,100.0
4,14,6,2024,100.0,99.68
4,14,7,2024,100.0,98.34
4,14,8,2024,100.0,99.81
4,14,9,2024,100.0,100.0
4,14,10,2024,100.0,100.0
4,14,11,2024,100.0,98.79
4,14,12,2024,100.0,99.93
4,14,1,2025,100.0,100.0
4,14,2,2025,100.0,100.0
4,14,3,2025,100.0,100.0
4,14,4,2025,100.0,100.0
4,14,5,2025,100.0,100.0
4,14,6,2025,100.0,100.0
4,14,7,2025,100.0,99.14
4,14,8,2025,100.0,99.89
4,14,9,2025,100.0,100.0
4,14,10,2025,100.0,99.97
4,14,11,2025,100.0,100.0
4,14,12,2025,100.0,100.0
4,14,1,2026,100.0,100.0
4,14,2,2026,100.0,98.72
4,14,3,2026,100.0,98.0
4,14,4,2026,100.0,100.0
