division_id,kpi_id,period_id,year,target,realization
4,11,1,2016,100.0,100.0
4,11,2,2016,100.0,100.0
4,11,3,2016,100.0,100.0
4,11,4,2016,100.0,100.0
4,11,5,2016,100.0,100.0
4,11,6,2016,100.0,100.0
4,11,7,2016,100.0,100.0
4,11,8,2016,100.0,100.0
4,11,9,2016,100.0,98.19
4,11,10,2016,100.0,100.0
4,11,11,2016,100.0,98.76
4,11,12,2016,100.0,99.67
4,11,1,2017,100.0,100.0
4,11,2,2017,100.0,100.0
4,11,3,2017,100.0,100.0
4,11,4,2017,100.0,99.84
4,11,5,2017,100.0,99.37
4,11,6,2017,100.0,100.0
4,11,7,2017,100.0,100.0
4,11,8,2017,100.0,99.67
4,11,9,2017,100.0,100.0
4,11,10,2017,100.0,100.0
4,11,11,2017,100.0,100.0
4,11,12,2017,100.0,100.0
4,11,1,2018,100.0,98.0
4,11,2,2018,100.0,100.0
4,11,3,2018,100.0,100.0
4,11,4,2018,100.0,99.99
4,11,5,2018,100.0,98.66
4,11,6,2018,100.0,100.0
4,11,7,2018,100.0,100.0
4,11,8,2018,100.0,100.0
4,11,9,2018,100.0,100.0
4,11,10,2018,100.0,100.0
4,11,11,2018,100.0,100.0
4,11,12,2018,100.0,100.0
4,11,1,2019,100.0,100.0
4,11,2,2019,100.0,99.99
4,11,3,2019,100.0,99.93
4,11,4,2019,100.0,100.0
4,11,5,2019,100.0,100.0
4,11,6,2019,100.0,99.7
4,11,7,2019,100.0,98.31
4,11,8,2019,100.0,98.0
4,11,9,2019,100.0,99.97
4,11,10,2019,100.0,100.0
4,11,11,2019,100.0,98.41
4,11,12,2019,100.0,99.77
4,11,1,2020,100.0,99.88
4,11,2,2020,100.0,100.0
4,11,3,2020,100.0,100.0
4,11,4,2020,100.0,100.0
4,11,5,2020,100.0,99.74
4,11,6,2020,100.0,100.0
4,11,7,2020,100.0,99.71
4,11,8,2020,100.0,100.0
4,11,9,2020,100.0,99.95
4,11,10,2020,100.0,100.0
4,11,11,2020,100.0,98.61
4,11,12,2020,100.0,100.0
4,11,1,2021,100.0,100.0
4,11,2,2021,100.0,100.0
4,11,3,2021,100.0,99.77
4,11,4,2021,100.0,98.0
4,11,5,2021,100.0,98.0
4,11,6,2021,100.0,100.0
4,11,7,2021,100.0,100.0
4,11,8,2021,100.0,100.0
4,11,9,2021,100.0,100.0
4,11,10,2021,100.0,100.0
4,11,11,2021,100.0,100.0
4,11,12,2021,100.0,100.0
4,11,1,2022,100.0,99.83
4,11,2,2022,100.0,100.0
4,11,3,2022,100.0,100.0
4,11,4,2022,100.0,99.98
4,11,5,2022,100.0,100.0
4,11,6,2022,100.0,99.99
4,11,7,2022,100.0,100.0
4,11,8,2022,100.0,98.49
4,11,9,2022,100.0,99.99
4,11,10,2022,100.0,100.0
4,11,11,2022,100.0,100.0
4,11,12,2022,100.0,98.0
4,11,1,2023,100.0,98.0
4,11,2,2023,100.0,98.0
4,11,3,2023,100.0,99.83
4,11,4,2023,100.0,100.0
4,11,5,2023,100.0,99.82
4,11,6,2023,100.0,99.99
4,11,7,2023,100.0,99.83
4,11,8,2023,100.0,100.0
4,11,9,2023,100.0,100.0
4,11,10,2023,100.0,100.0
4,11,11,2023,100.0,99.99
4,11,12,2023,100.0,100.0
4,11,1,2024,100.0,100.0
4,11,2,2024,100.0,100.0
4,11,3,2024,100.0,100.0
4,11,4,2024,100.0,100.0
4,11,5,2024,100.0,99.93
4,11,6,2024,100.0,99.94
4,11,7,2024,100.0,100.0
4,11,8,2024,100.0,100.0
4,11,9,2024,100.0,100.0
4,11,10,2024,100.0,100.0
4,11,11,2024,100.0,100.0
4,11,12,2024,100.0,99.99
4,11,1,2025,100.0,100.0
4,11,2,2025,100.0,100.0
4,11,3,2025,100.0,98.0
4,11,4,2025,100.0,99.18
4,11,5,2025,100.0,100.0
4,11,6,2025,100.0,100.0
4,11,7,2025,100.0,99.99
4,11,8,2025,100.0,100.0
4,11,9,2025,100.0,99.54
4,11,10,2025,100.0,99.33
4,11,11,2025,100.0,98.16
4,11,12,2025,100.0,99.17
4,11,1,2026,100.0,99.82
4,11,2,2026,100.0,100.0
4,11,3,2026,100.0,99.87
4,11,4,2026,100.0,100.0
