division_id,kpi_id,period_id,year,target,realization,
2,4,1,2016,100,92,
2,4,2,2016,100,99,
2,4,3,2016,100,87,
2,4,4,2016,100,92,
2,4,5,2016,100,86,
2,4,6,2016,100,85,
2,4,7,2016,100,95,
2,4,8,2016,100,96,
2,4,9,2016,100,93,
2,4,10,2016,100,86,
2,4,11,2016,100,90,
2,4,12,2016,100,99,
2,4,1,2017,100,89,
2,4,2,2017,100,99,
2,4,3,2017,100,99,
2,4,4,2017,100,86,
2,4,5,2017,100,97,
2,4,6,2017,100,89,
2,4,7,2017,100,91,
2,4,8,2017,100,93,
2,4,9,2017,100,98,
2,4,10,2017,100,85,
2,4,11,2017,100,96,
2,4,12,2017,100,91,
2,4,1,2018,100,90,
2,4,2,2018,100,97,
2,4,3,2018,100,97,
2,4,4,2018,100,93,
2,4,5,2018,100,85,
2,4,6,2018,100,94,
2,4,7,2018,100,93,
2,4,8,2018,100,92,
2,4,9,2018,100,90,
2,4,10,2018,100,95,
2,4,11,2018,100,90,
2,4,12,2018,100,94,
2,4,1,2019,100,94,
2,4,2,2019,100,98,
2,4,3,2019,100,97,
2,4,4,2019,100,92,
2,4,5,2019,100,98,
2,4,6,2019,100,97,
2,4,7,2019,100,88,
2,4,8,2019,100,90,
2,4,9,2019,100,100,
2,4,10,2019,100,93,
2,4,11,2019,100,93,
2,4,12,2019,100,99,
2,4,1,2020,100,96,
2,4,2,2020,100,98,
2,4,3,2020,100,94,
2,4,4,2020,100,96,
2,4,5,2020,100,93,
2,4,6,2020,100,98,
2,4,7,2020,100,85,
2,4,8,2020,100,90,
2,4,9,2020,100,89,
2,4,10,2020,100,94,
2,4,11,2020,100,98,
2,4,12,2020,100,94,
2,4,1,2021,100,88,
2,4,2,2021,100,100,
2,4,3,2021,100,100,
2,4,4,2021,100,91,
2,4,5,2021,100,91,
2,4,6,2021,100,86,
2,4,7,2021,100,98,
2,4,8,2021,100,96,
2,4,9,2021,100,89,
2,4,10,2021,100,100,
2,4,11,2021,100,86,
2,4,12,2021,100,93,
2,4,1,2022,100,98,
2,4,2,2022,100,87,
2,4,3,2022,100,87,
2,4,4,2022,100,95,
2,4,5,2022,100,87,
2,4,6,2022,100,91,
2,4,7,2022,100,98,
2,4,8,2022,100,96,
2,4,9,2022,100,91,
2,4,10,2022,100,85,
2,4,11,2022,100,90,
2,4,12,2022,100,91,
2,4,1,2023,100,85,
2,4,2,2023,100,87,
2,4,3,2023,100,97,
2,4,4,2023,100,89,
2,4,5,2023,100,89,
2,4,6,2023,100,85,
2,4,7,2023,100,99,
2,4,8,2023,100,87,
2,4,9,2023,100,100,
2,4,10,2023,100,92,
2,4,11,2023,100,86,
2,4,12,2023,100,99,
2,4,1,2024,100,98,
2,4,2,2024,100,93,
2,4,3,2024,100,90,
2,4,4,2024,100,91,
2,4,5,2024,100,87,
2,4,6,2024,100,97,
2,4,7,2024,100,99,
2,4,8,2024,100,96,
2,4,9,2024,100,94,
2,4,10,2024,100,95,
2,4,11,2024,100,96,
2,4,12,2024,100,92,
2,4,1,2025,100,86,
2,4,2,2025,100,95,
2,4,3,2025,100,87,
2,4,4,2025,100,100,
2,4,5,2025,100,85,
2,4,6,2025,100,91,
2,4,7,2025,100,94,
2,4,8,2025,100,88,
2,4,9,2025,100,96,
2,4,10,2025,100,98,
2,4,11,2025,100,99,
2,4,12,2025,100,88,
2,4,1,2026,100,86,
2,4,2,2026,100,99,
2,4,3,2026,100,93,
