division_id,kpi_id,period_id,year,target,realization
3,10,13,2016,30,38
3,10,14,2016,30,33
3,10,15,2016,30,36
3,10,16,2016,30,37
3,10,13,2017,30,33
3,10,14,2017,30,36
3,10,15,2017,30,38
3,10,16,2017,30,36
3,10,13,2018,30,35
3,10,14,2018,30,40
3,10,15,2018,30,33
3,10,16,2018,30,39
3,10,13,2019,30,30
3,10,14,2019,30,40
3,10,15,2019,30,30
3,10,16,2019,30,37
3,10,13,2020,30,32
3,10,14,2020,30,37
3,10,15,2020,30,34
3,10,16,2020,30,39
3,10,13,2021,30,32
3,10,14,2021,30,36
3,10,15,2021,30,40
3,10,16,2021,30,28
3,10,13,2022,30,40
3,10,14,2022,30,38
3,10,15,2022,30,37
3,10,16,2022,30,32
3,10,13,2023,30,35
3,10,14,2023,30,40
3,10,15,2023,30,34
3,10,16,2023,30,30
3,10,13,2024,30,31
3,10,14,2024,30,36
3,10,15,2024,30,32
3,10,16,2024,30,32
3,10,13,2025,30,35
3,10,14,2025,30,32
3,10,15,2025,30,33
3,10,16,2025,30,37
3,10,13,2026,30,37
