division_id,kpi_id,period_id,year,target,realization
1,3,13,2016,98,89
1,3,14,2016,98,98
1,3,15,2016,98,90
1,3,16,2016,98,89
1,3,13,2017,98,95
1,3,14,2017,98,100
1,3,15,2017,98,99
1,3,16,2017,98,93
1,3,13,2018,98,87
1,3,14,2018,98,87
1,3,15,2018,98,92
1,3,16,2018,98,98
1,3,13,2019,98,96
1,3,14,2019,98,90
1,3,15,2019,98,85
1,3,16,2019,98,100
1,3,13,2020,98,98
1,3,14,2020,98,98
1,3,15,2020,98,85
1,3,16,2020,98,89
1,3,13,2021,98,91
1,3,14,2021,98,85
1,3,15,2021,98,94
1,3,16,2021,98,93
1,3,13,2022,98,92
1,3,14,2022,98,88
1,3,15,2022,98,94
1,3,16,2022,98,92
1,3,13,2023,98,89
1,3,14,2023,98,92
1,3,15,2023,98,94
1,3,16,2023,98,90
1,3,13,2024,98,100
1,3,14,2024,98,98
1,3,15,2024,98,89
1,3,16,2024,98,99
1,3,13,2025,98,98
1,3,14,2025,98,96
1,3,15,2025,98,91
1,3,16,2025,98,85
1,3,13,2026,98,98
